Title,Author,Year,Citation count,Open access,Abstract
Elevated insular glutamate in fibromyalgia is associated with experimental pain,Richard E. Harris|Pia C. Sundgren|A. D. Craig|Eric Kirshenbaum|Ananda Sen|Vitaly Napadow|Daniel J. Clauw,2009,328,Open Access,"OBJECTIVE: Central pain augmentation resulting from enhanced excitatory and/or decreased inhibitory neurotransmission is a proposed mechanism underlying the pathophysiology of functional pain syndromes such as fibromyalgia (FM). Multiple functional magnetic resonance imaging studies implicate the insula as a region of heightened neuronal activity in this condition. Since glutamate (Glu) is a major cortical excitatory neurotransmitter that functions in pain neurotransmission, we undertook this study to test our hypothesis that increased levels of insular Glu would be present in FM patients and that the concentration of this molecule would be correlated with pain report. METHODS: Nineteen FM patients and 14 age- and sex-matched pain-free controls underwent pressure pain testing and a proton magnetic resonance spectroscopy session in which the right anterior insula and right posterior insula were examined at rest. RESULTS: Compared with healthy controls, FM patients had significantly higher levels of Glu (mean +/- SD 8.09 +/- 0.72 arbitrary institutional units versus 6.86 +/- 1.29 arbitrary institutional units; P = 0.009) and combined glutamine and Glu (i.e., Glx) (mean +/- SD 12.38 +/- 0.94 arbitrary institutional units versus 10.59 +/- 1.48 arbitrary institutional units; P = 0.001) within the right posterior insula. No significant differences between groups were detected in any of the other major metabolites within this region (P > 0.05 for all comparisons), and no group differences were detected for any metabolite within the right anterior insula (P > 0.11 for all comparisons). Within the right posterior insula, higher levels of Glu and Glx were associated with lower pressure pain thresholds across both groups for medium pain (for Glu, r = -0.43, P = 0.012; for Glx, r = -0.50, P = 0.003). CONCLUSION: Enhanced glutamatergic neurotransmission resulting from higher concentrations of Glu within the posterior insula may play a role in the pathophysiology of FM and other central pain augmentation syndromes."
Dynamic levels of glutamate within the insula are associated with improvements in multiple pain domains in fibromyalgia,Richard E. Harris|Pia C. Sundgren|Yuxi Pang|Michael C. Hsu|M.D. Ilya Petrou|Seongho Kim|Samuel A. McLean|Richard H. Gracely|Daniel J. Clauw,2008,197,NOT Open Access,
Reduced insular γ‐aminobutyric acid in fibromyalgia,Bradley R. Foerster|M.D. Ilya Petrou|Richard A.E. Edden|Pia C. Sundgren|Tobias Schmidt‐Wilcke|Suzan Lowe|Steven E. Harte|Daniel J. Clauw|Richard E. Harris,2011,211,NOT Open Access,
Measuring Glutamate Levels in the Brains of Fibromyalgia Patients and a Potential Role for Glutamate in the Pathophysiology of Fibromyalgia Symptoms,Tahni L. Pyke|Peter G. Osmotherly|Surinder Baines,2016,70,NOT Open Access,
Reduced intraepidermal nerve fiber density after a sustained increase in insular glutamate: a proof-of-concept study examining the pathogenesis of small fiber pathology in fibromyalgia,Steven E. Harte|Daniel J. Clauw|John M. Hayes|Eva L. Feldman|Irene C. St Charles|Christopher J.E. Watson,2017,48,Open Access,"INTRODUCTION: Neuroimaging reveals increased glutamate within the insula of patients with fibromyalgia (FM), suggesting a link between FM symptoms and increased central excitatory neurotransmission. Many patients with FM also present with decreased intraepidermal nerve fiber density (IENFD), consistent with small fiber pathology. It remains unknown, however, whether either of these mechanistic findings represent a cause or a consequence of the other. This study tests the hypothesis that an excitatory imbalance within the insula leads to small fiber pathology. OBJECTIVES: This is a proof-of-concept study to examine whether a chronic, bilateral increase in insular glutamate can be a causal factor in the development of small fiber neuropathy in FM. METHODS: The glutamate transport inhibitor l-trans-Pyrrolidine-2,4-dicarboxylic acid (PDC), which increases endogenous levels of glutamate, was dissolved in Ringer solution and bilaterally delivered into the insula of rats for 6 weeks. Naive rats that did not undergo any surgery or treatment and rats administered Ringer vehicle solution into the insula served as controls. Multimodal nociceptive sensitivity was assessed weekly. Hind paw tissue biopsies were collected for IENFD assessment, at the end of the experiment. RESULTS: Compared with controls, increasing endogenous glutamate in the insula with PDC caused sustained decreases in mechanical paw withdrawal threshold and thermal paw withdrawal latency, increased aversion to noxious mechanical stimulation, and a decrease in IENFD. Cold reactivity was not altered by PDC administration. CONCLUSION: Bilateral insular PDC administration produced a persistent increase in multimodal pain behaviors and a decrease in peripheral nerve fibers in rat. These preclinical findings offer preliminary support that insular hyperactivity may be a casual factor in the development of small fiber pathology in FM."
Pressure Pain Sensitivity and Insular Combined Glutamate and Glutamine (Glx) Are Associated with Subsequent Clinical Response to Sham But Not Traditional Acupuncture in Patients Who Have Chronic Pain,Steven E. Harte|Daniel J. Clauw|Vitaly Napadow|Richard E. Harris,2013,32,Open Access,"Abstract Background: Clinical trials of acupuncture in chronic pain have largely failed to demonstrate efficacy of traditional over sham acupuncture. However, it should be noted that sham acupuncture is not inert. Objective: To determine if experimental-pressure pain assessment and chemical neuroimaging can identify differential responsiveness to sham as opposed to traditional acupuncture. Patients and Intervention: Fifty patients with fibromyalgia were randomized to either 9 traditional (TA) or sham (SA) acupuncture treatments over a period of 4 weeks. Both participants and assessors were blinded. Main Outcome Measures: The main outcome measures were pressure-pain sensitivity at the thumbnail, insular glutamate+glutamine (Glx), and clinical pain. Results: Patients with low pain sensitivity (LPS), but not with high pain sensitivity (HPS), had a significantly reduced clinical pain response to SA (change in mean [standard deviation (SD)]: HPS −8.65 [7.91]; LPS −2.14 [6.68]; p =0.03). This relationship was not the case for TA (HPS −6.90 [4.51]; LPS −6.41 [9.25]; p =0.88). SA-treated patients who were more sensitive also had greater baseline levels of insular Glx than patients who were less sensitive (Glx mean [SD]: HPS 11.3 [1.18]; LPS 10.2 [0.54]; p =0.04). Conclusions: Pressure-pain testing may identify patients who are less likely to respond to SA. This effect may relate to the levels of brain excitatory neurotransmitters."
Greater Somatosensory Afference With Acupuncture Increases Primary Somatosensory Connectivity and Alleviates Fibromyalgia Pain via Insular γ‐Aminobutyric Acid: A Randomized Neuroimaging Trial,Ishtiaq Mawla|Eric Ichesco|Helge J. Zöllner|Richard A.E. Edden|Thomas L. Chenevert|Henry A. Buchtel|Meagan D. Bretz|Heather Sloan|Chelsea Kaplan|Steven E. Harte|George A. Mashour|Daniel J. Clauw|Vitaly Napadow|Richard E. Harris,2020,70,Open Access,"Objective Acupuncture is a complex multicomponent treatment that has shown promise in the treatment of fibromyalgia (FM). However, clinical trials have shown mixed results, possibly due to heterogeneous methodology and lack of understanding of the underlying mechanism of action. The present study was undertaken to understand the specific contribution of somatosensory afference to improvements in clinical pain, and the specific brain circuits involved. Methods Seventy‐six patients with FM were randomized to receive either electroacupuncture (EA), with somatosensory afference, or mock laser acupuncture (ML), with no somatosensory afference, twice a week over 8 treatments. Patients with FM in each treatment group were assessed for pain severity levels, measured using Brief Pain Inventory (BPI) scores, and for levels of functional brain network connectivity, assessed using resting state functional magnetic resonance imaging (MRI) and proton magnetic resonance spectroscopy in the right anterior insula, before and after treatment. Results Fibromyalgia patients who received EA therapy experienced a greater reduction in pain severity, as measured by the BPI, compared to patients who received ML therapy (mean difference in BPI from pre‐ to posttreatment was −1.14 in the EA group versus −0.46 in the ML group; P for group × time interaction = 0.036). Participants receiving EA treatment, as compared to ML treatment, also exhibited resting functional connectivity between the primary somatosensory cortical representation of the leg (S1 leg ; i.e. primary somatosensory subregion activated by EA) and the anterior insula. Increased S1 leg –anterior insula connectivity was associated with both reduced levels of pain severity as measured by the BPI ( r = −0.44, P = 0.01) and increased levels of γ‐aminobutyric acid (GABA+) in the anterior insula ( r = 0.48, P = 0.046) following EA therapy. Moreover, increased levels of GABA+ in the anterior insula were associated with reduced levels of pain severity as measured by the BPI ( r = −0.59, P = 0.01). Finally, post–EA treatment changes in levels of GABA+ in the anterior insula mediated the relationship between changes in S1 leg –anterior insula connectivity and pain severity on the BPI (bootstrap confidence interval −0.533, −0.037). Conclusion The somatosensory component of acupuncture modulates primary somatosensory functional connectivity associated with insular neurochemistry to reduce pain severity in FM."
Brain imaging in fibromyalgia syndrome.,Roland Staud,2012,66,NOT Open Access,
Brief Report: Excitatory and Inhibitory Brain Metabolites as Targets of Motor Cortex Transcranial Direct Current Stimulation Therapy and Predictors of Its Efficacy in Fibromyalgia,Bradley R. Foerster|Thiago D. Nascimento|Misty DeBoer|Marycatherine A. Bender|Indie C. Rice|Dennis Q. Truong|Marom Bikson|Daniel J. Clauw|Jon‐Kar Zubieta|Richard E. Harris|Alexandre F. DaSilva,2014,105,Open Access,"OBJECTIVE: Transcranial direct current stimulation (tDCS) has been shown to improve pain symptoms in fibromyalgia (FM), a central pain syndrome whose underlying mechanisms are not well understood. This study was undertaken to explore the neurochemical action of tDCS in the brain of patients with FM, using proton magnetic resonance spectroscopy (1H-MRS). METHODS: Twelve patients with FM underwent sham tDCS over the left motor cortex (anode placement) and contralateral supraorbital cortex (cathode placement) for 5 consecutive days, followed by a 7-day washout period and then active tDCS for 5 consecutive days. Clinical pain assessment and 1H-MRS testing were performed at baseline, the week following the sham tDCS trial, and the week following the active tDCS trial. RESULTS: Clinical pain scores decreased significantly between the baseline and active tDCS time points (P = 0.04). Levels of glutamate + glutamine (Glx) in the anterior cingulate were significantly lower at the post–active tDCS assessment compared with the post–sham tDCS assessment (P = 0.013), and the decrease in Glx levels in the thalami between these time points approached significance (P = 0.056). From baseline to the post–sham tDCS assessment, levels of N-acetylaspartate (NAA) in the posterior insula increased significantly (P = 0.015). There was a trend toward increased levels of γ-aminobutyric acid (GABA) in the anterior insula after active tDCS, compared with baseline (P = 0.064). Baseline anterior cingulate Glx levels correlated significantly with changes in pain score, both for the time period from baseline to sham tDCS (β1 = 1.31, P < 0.001) and for the time period from baseline to active tDCS (β1= 1.87, P < 0.001). CONCLUSION: The present findings suggest that GABA, Glx, and NAA play an important role in the pathophysiology of FM and its modulation by tDCS."
Proton MR Spectroscopy in the Evaluation of Cerebral Metabolism in Patients with Fibromyalgia: Comparison with Healthy Controls and Correlation with Symptom Severity,M.D. Ilya Petrou|Richard E. Harris|Bradley R. Foerster|Samuel A. McLean|Ananda Sen|Daniel J. Clauw|Pia C. Sundgren,2008,59,Open Access,"BACKGROUND AND PURPOSE: Widespread pain sensitivity in patients with fibromyalgia (FM) suggests a central nervous system (CNS)-processing problem. Therefore, it is conceivable that metabolic alterations exist in pain-processing brain regions of people with FM compared with healthy controls (HC) and that such metabolic data could correlate with clinical symptoms. The purpose of this study was to test these hypotheses using proton MR spectroscopy ((1)H-MR spectroscopy). MATERIALS AND METHODS: There were 21 patients with FM and 27 HC who underwent conventional structural MR imaging and additional 2D-chemical shift imaging (CSI) MR-spectroscopy sequences. For the 2D-CSI spectroscopy, larger volumes of interest (VOIs) were centered at the level of the basal ganglia and the supraventricular white matter. Within these larger areas, 16 smaller voxels were placed in a number of regions previously implicated in pain processing. N-acetylaspartate (NAA)/creatine(Cr), choline (Cho)/Cr and NAA/Cho ratios were calculated for each voxel. Subjects underwent clinical and experimental pain assessment. RESULTS: Mean metabolite ratios and ratio variability for each region were analyzed by using repeated-measures analysis of variance (ANOVA). Correlations between clinical symptoms and metabolite ratios were assessed. Cho/Cr variability in the right dorsolateral prefrontal cortex (DLPFC) was significantly different in the 2 groups; a significant correlation between Cho/Cr in this location and clinical pain was present in the FM group. Evoked pain threshold correlated significantly with NAA/Cho ratios in the left insula and left basal ganglia. CONCLUSION: Our data suggest that there are baseline differences in the variability of brain metabolite relative concentrations between patients with FM and HC, especially in the right DLPFC. Furthermore, there are significant correlations between metabolite ratios and clinical and experimental pain parameters in patients with FM."
